,biExclusiveLevel,brand_name,category,imageAltText,isAppExclusive,isBI,isBest,isFirstAccess,isLimitedEdition,isLimitedTimeOffer,isNatural,isNew,isOnlineOnly,isOrganic,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice
117,none,COOLA,/shop/foundation-makeup,COOLA - Mineral Face SPF 30 - Matte Tint,False,False,False,False,False,False,False,False,False,False,False,$36.00,,1707140,Standard,
118,none,Perricone MD,/shop/foundation-makeup,Perricone MD - No Makeup Foundation Serum Broad Spectrum SPF 20,False,False,False,False,False,False,False,False,False,False,False,$60.00,,2211902,Standard,
119,none,NUDESTIX,/shop/foundation-makeup,NUDESTIX - Nudies Tinted Cover Foundation,False,False,False,False,False,False,False,True,False,False,False,$35.00,,2272292,Standard,
120,none,Laura Mercier,/shop/foundation-makeup,Laura Mercier - Silk Crème Moisturizing Photo Edition Foundation,False,False,False,False,False,False,False,False,False,False,False,$48.00,,2110146,Standard,
121,none,Erborian,/shop/foundation-makeup,Erborian - BB Cream Tinted Moisturizer Broad Spectrum SPF20,False,False,False,False,False,False,False,False,False,False,True,$39.00,,1705839,Standard,
122,none,MILK MAKEUP,/shop/foundation-makeup,MILK MAKEUP - Sunshine Skin Tint SPF 30,False,False,False,False,False,False,False,False,False,False,False,$42.00,,1840362,Standard,
123,none,MILK MAKEUP,/shop/foundation-makeup,MILK MAKEUP - Blur Liquid Matte Foundation,False,False,False,False,False,False,False,False,False,False,False,$40.00,,2118032,Standard,
124,none,Giorgio Armani Beauty,/shop/foundation-makeup,Giorgio Armani Beauty - Designer Lift Smoothing Firming Foundation SPF 20,False,False,False,False,False,False,False,False,True,False,False,$67.00,,1682509,Standard,
125,none,Hourglass,/shop/foundation-makeup,Hourglass - Veil Fluid Makeup Oil Free Broad Spectrum SPF 15,False,False,False,False,False,False,False,False,False,False,False,$60.00,,1064864,Standard,
126,none,Givenchy,/shop/foundation-makeup,Givenchy - Teint Couture Blurring Foundation Balm Broad Spectrum 15,False,False,False,False,False,False,False,False,False,False,False,$45.00,,1726447,Standard,
127,none,Wander Beauty,/shop/foundation-makeup,Wander Beauty - Wanderlust Powder Foundation,False,False,False,False,False,False,False,False,True,False,False,$40.00,,2097020,Standard,
128,none,Koh Gen Do,/shop/foundation-makeup,Koh Gen Do - Aqua Foundation,False,False,False,False,False,False,False,False,False,False,False,$77.00,,2082659,Standard,
129,none,bareMinerals,/shop/foundation-makeup,bareMinerals - Nothing Beats the Original™ Complexion Kit,False,False,False,False,False,False,False,False,False,False,False,$34.00,,1958859,Standard,
130,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Acne Solutions BB Cream Broad Spectrum SPF 40,False,False,False,False,False,True,False,False,False,False,True,$39.50,,1677160,Standard,
131,none,Jouer Cosmetics,/shop/foundation-makeup,Jouer Cosmetics - Essential High Coverage Crème Foundation,False,False,False,False,False,False,False,False,False,False,False,$38.00,,2124808,Standard,
132,none,CLINIQUE,/shop/foundation-makeup,CLINIQUE - Superbalanced Makeup,False,False,False,False,False,False,False,False,False,False,False,$28.50,,52852,Standard,
133,none,Lancôme,/shop/foundation-makeup,Lancôme - SKIN FEELS GOOD Skin Nourishing Foundation,False,False,False,False,False,False,False,False,False,False,False,$35.00,,2045201,Standard,
134,none,COOLA,/shop/foundation-makeup,COOLA - Rōsilliance™ Organic BB+ Cream SPF 30,False,False,False,False,False,False,False,False,False,False,True,$52.00,,1819549,Standard,
135,none,Giorgio Armani Beauty,/shop/foundation-makeup,Giorgio Armani Beauty - Crema Nuda,False,False,False,False,False,False,False,False,True,False,False,$120.00,,1957570,Standard,
136,none,Benefit Cosmetics,/shop/foundation-makeup,Benefit Cosmetics - Hello Happy Flawless Brightening Foundation,False,False,False,False,False,False,False,True,False,False,False,$15.00 - $30.00,,2254175,Standard,
137,none,Estée Lauder,/shop/foundation-makeup,Estée Lauder - Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,False,False,False,False,False,False,False,False,False,False,False,$43.00,,1667005,Standard,
138,none,Marc Jacobs Beauty,/shop/foundation-makeup,Marc Jacobs Beauty - Shameless Youthful-Look 24H Foundation SPF 25,False,False,False,False,False,False,False,False,False,False,False,$46.00,,2035764,Standard,
