,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
1526,42,62,151,560,"1,062",4.4,1963495,"1,877 reviews"
1527,24,39,63,169,"1,017",4.6,2036044,"1,312 reviews"
1528,171,157,269,518,856,3.9,1738913,"1,971 reviews"
1529,2,0,3,7,46,4.6,2203511,58 reviews
1530,193,202,267,741,"2,059",4.2,2101103,"3,462 reviews"
1531,4,2,9,12,37,4.2,2209062,64 reviews
1532,25,30,53,100,390,4.3,2108157,598 reviews
1533,83,112,257,902,"1,719",4.3,1888312,"3,073 reviews"
1534,32,37,51,157,487,4.3,1962695,764 reviews
1535,57,63,110,203,412,4,2115343,845 reviews
1536,113,126,173,419,"1,583",4.3,2029023,"2,414 reviews"
1537,93,133,260,696,"2,219",4.4,1719251,"3,401 reviews"
1538,2,3,8,15,50,4.4,2116739,78 reviews
1539,8,11,46,210,452,4.5,1963941,727 reviews
1540,23,19,36,160,525,4.5,1450121,763 reviews
1541,0,0,0,1,13,4.9,2119105,14 reviews
1542,17,19,17,24,56,3.6,2226736,133 reviews
1543,34,48,88,260,"1,522",4.6,1637685,"1,952 reviews"
1544,17,20,24,105,455,4.5,1589233,621 reviews
1545,3,6,8,20,109,4.5,2107464,146 reviews
1546,8,5,14,30,119,4.4,1921204,176 reviews
1547,154,134,161,420,"1,429",4.2,1395243,"2,298 reviews"
1548,2,8,12,28,74,4.3,2197663,124 reviews
1549,11,20,54,192,425,4.4,2182855,702 reviews
1550,7,8,8,8,55,4.1,2116895,86 reviews
1551,66,48,30,57,148,3.5,1940022,349 reviews
1552,4,14,24,30,161,4.4,2005759,233 reviews
1553,0,2,5,8,58,4.7,2198984,73 reviews
1554,6,5,7,14,82,4.4,2226173,114 reviews
1555,32,36,139,634,"1,293",4.5,1855402,"2,134 reviews"
1556,14,12,23,37,167,4.3,1919729,253 reviews
1557,186,141,203,534,"1,472",4.2,1789403,"2,536 reviews"
1558,1,1,1,8,17,4.4,1967595,28 reviews
1559,7,12,14,108,354,4.6,2183622,495 reviews
1560,5,9,14,26,61,4.1,2066207,115 reviews
1561,9,16,23,25,49,3.7,2144632,122 reviews
1562,14,20,24,61,201,4.3,2068336,320 reviews
1563,25,54,93,318,802,4.4,1478585,"1,292 reviews"
