brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,review_count,target
Bobbi Brown,foundation-makeup,Bobbi Brown - Skin Weightless Powder Foundation,False,False,False,False,52.0,0.0,1646215,Standard,,25,0
COOLA,foundation-makeup,COOLA - Mineral Face SPF 30 - Matte Tint,False,False,False,False,36.0,0.0,1707140,Standard,,1,0
Perricone MD,foundation-makeup,Perricone MD - No Makeup Foundation Serum Broad Spectrum SPF 20,False,False,False,False,60.0,0.0,2211902,Standard,,299,0
NUDESTIX,foundation-makeup,NUDESTIX - Nudies Tinted Cover Foundation,False,True,False,False,35.0,0.0,2272292,Standard,,4,0
Laura Mercier,foundation-makeup,Laura Mercier - Silk Crème Moisturizing Photo Edition Foundation,False,False,False,False,48.0,0.0,2110146,Standard,,81,0
Erborian,foundation-makeup,Erborian - BB Cream Tinted Moisturizer Broad Spectrum SPF20,False,False,False,True,39.0,0.0,1705839,Standard,,56,0
MILK MAKEUP,foundation-makeup,MILK MAKEUP - Sunshine Skin Tint SPF 30,False,False,False,False,42.0,0.0,1840362,Standard,,115,0
MILK MAKEUP,foundation-makeup,MILK MAKEUP - Blur Liquid Matte Foundation,False,False,False,False,40.0,0.0,2118032,Standard,,381,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Designer Lift Smoothing Firming Foundation SPF 20,False,False,True,False,67.0,0.0,1682509,Standard,,8,0
Hourglass,foundation-makeup,Hourglass - Veil Fluid Makeup Oil Free Broad Spectrum SPF 15,False,False,False,False,60.0,0.0,1064864,Standard,,229,0
Givenchy,foundation-makeup,Givenchy - Teint Couture Blurring Foundation Balm Broad Spectrum 15,False,False,False,False,45.0,0.0,1726447,Standard,,41,0
Wander Beauty,foundation-makeup,Wander Beauty - Wanderlust Powder Foundation,False,False,True,False,40.0,0.0,2097020,Standard,,44,0
Koh Gen Do,foundation-makeup,Koh Gen Do - Aqua Foundation,False,False,False,False,77.0,0.0,2082659,Standard,,15,0
bareMinerals,foundation-makeup,bareMinerals - Nothing Beats the Original™ Complexion Kit,False,False,False,False,34.0,0.0,1958859,Standard,,7,0
CLINIQUE,foundation-makeup,CLINIQUE - Acne Solutions BB Cream Broad Spectrum SPF 40,False,False,False,True,39.5,0.0,1677160,Standard,,128,0
Jouer Cosmetics,foundation-makeup,Jouer Cosmetics - Essential High Coverage Crème Foundation,False,False,False,False,38.0,0.0,2124808,Standard,,34,0
CLINIQUE,foundation-makeup,CLINIQUE - Superbalanced Makeup,False,False,False,False,28.5,0.0,52852,Standard,,181,0
Lancôme,foundation-makeup,Lancôme - SKIN FEELS GOOD Skin Nourishing Foundation,False,False,False,False,35.0,0.0,2045201,Standard,,228,0
COOLA,foundation-makeup,COOLA - Rōsilliance™ Organic BB+ Cream SPF 30,False,False,False,True,52.0,0.0,1819549,Standard,,35,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Crema Nuda,False,False,True,False,120.0,0.0,1957570,Standard,,5,0
Benefit Cosmetics,foundation-makeup,Benefit Cosmetics - Hello Happy Flawless Brightening Foundation,False,True,False,False,30.0,0.0,2254175,Standard,,6,0
Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,False,False,False,False,43.0,0.0,1667005,Standard,,46,0
Marc Jacobs Beauty,foundation-makeup,Marc Jacobs Beauty - Shameless Youthful-Look 24H Foundation SPF 25,False,False,False,False,46.0,0.0,2035764,Standard,,404,0
Benefit Cosmetics,foundation-makeup,Benefit Cosmetics - Hello Happy Soft Blur Foundation,False,False,False,False,30.0,0.0,2086502,Standard,,59,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Maestro Fusion Makeup Octinoxate Sunscreen SPF 15,False,False,False,False,64.0,0.0,1441526,Standard,,39,0
STELLAR,foundation-makeup,STELLAR - Limitless Foundation,False,False,False,False,38.0,0.0,2186237,Standard,,51,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Make No Mistake Foundation & Concealer Stick,False,False,False,True,20.0,0.0,1887447,Standard,,112,0
Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Nude Water Fresh Foundation SPF 30,False,False,False,False,43.0,0.0,1970342,Standard,,33,0
Natasha Denona,foundation-makeup,Natasha Denona - Face Glow Foundation,False,True,False,False,42.0,0.0,2252351,Standard,,2,0
MAKE UP FOR EVER,foundation-makeup,MAKE UP FOR EVER - Ultra HD Invisible Cover Cream Foundation Palette,False,False,True,True,110.0,0.0,2169092,Standard,,1,0
BECCA,foundation-makeup,BECCA - Aqua Luminous Perfecting Foundation,False,False,False,False,44.0,0.0,1783653,Standard,,195,0
Shiseido,foundation-makeup,Shiseido - Synchro Skin Lasting Liquid Foundation Broad Spectrum SPF 20,False,False,True,False,45.0,0.0,1784867,Standard,,50,0
Hourglass,foundation-makeup,Hourglass - Vanish™ Seamless Finish Liquid Foundation,False,False,False,False,56.0,0.0,2174506,Standard,,160,0
Givenchy,foundation-makeup,Givenchy - Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,False,False,False,False,55.0,0.0,1938802,Standard,,21,0
Giorgio Armani Beauty,foundation-makeup,Giorgio Armani Beauty - Face Fabric Foundation,False,False,False,False,49.0,0.0,2047298,Standard,,59,0
Kat Von D,foundation-makeup,Kat Von D - Lock-It Powder Foundation Refills,False,True,True,True,23.0,0.0,2187573,Standard,,1,0
Estée Lauder,foundation-makeup,Estée Lauder - Double Wear Stay-In-Place Foundation Pump,False,False,False,False,10.0,0.0,2019503,Standard,,1,0
NUDESTIX,foundation-makeup,NUDESTIX - Nudies Tinted Blur Stick,False,False,False,False,30.0,0.0,2079416,Standard,,54,0
CLINIQUE,foundation-makeup,CLINIQUE - Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,False,False,True,False,29.5,0.0,1953389,Standard,,21,0
Benefit Cosmetics,foundation-makeup,Benefit Cosmetics - Hello Happy Velvet Power Foundation,False,True,False,False,30.0,0.0,2254290,Standard,,3,0
