,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
316,176,157,205,333,507,3.6,1734730,"1,378 reviews"
317,1,3,3,7,24,4.3,1992437,38 reviews
318,3,6,6,28,107,4.5,1779784,150 reviews
319,1,1,0,4,25,4.6,1941202,31 reviews
320,21,22,25,45,87,3.8,1674738,200 reviews
321,3,6,4,10,18,3.8,1752492,41 reviews
322,1,1,9,8,16,4.1,1665660,35 reviews
323,7,8,13,16,53,4,1926427,97 reviews
324,3,0,0,3,8,3.9,1926500,14 reviews
325,3,6,5,24,124,4.6,2034908,162 reviews
326,18,37,57,124,293,4.2,1644327,529 reviews
327,0,0,4,2,32,4.7,1927748,38 reviews
328,14,23,28,70,279,4.4,1651603,414 reviews
329,5,10,5,10,46,4.1,2047371,76 reviews
330,1,1,2,1,8,4.1,1953157,13 reviews
331,34,43,79,158,416,4.2,1621234,730 reviews
332,14,22,15,14,23,3.1,1671924,88 reviews
333,62,92,116,229,816,4.3,1925577,"1,315 reviews"
334,11,10,8,37,211,4.5,1661461,277 reviews
335,111,119,164,357,984,4.1,2037596,"1,735 reviews"
336,465,304,303,507,"1,309",3.7,1669027,"2,888 reviews"
337,72,67,89,216,588,4.1,1776129,"1,032 reviews"
338,55,61,89,317,811,4.3,1317650,"1,333 reviews"
339,22,14,14,24,63,3.7,1350024,137 reviews
340,70,64,83,255,932,4.4,1098821,"1,404 reviews"
341,38,43,64,120,390,4.2,1578285,655 reviews
342,12,11,34,96,302,4.5,549170,455 reviews
343,1,3,3,5,13,4,2034775,25 reviews
344,81,87,109,205,346,3.8,1735349,828 reviews
345,41,58,150,203,306,3.9,2169894,758 reviews
346,5,5,9,8,29,3.9,1861897,56 reviews
347,10,8,6,20,100,4.3,1359876,144 reviews
348,8,3,8,21,42,4,1835503,82 reviews
349,22,14,14,24,63,3.7,1350016,137 reviews
350,49,46,65,99,187,3.7,1783554,446 reviews
351,40,28,17,43,134,3.8,1789999,262 reviews
352,17,22,17,12,86,3.8,1773332,154 reviews
353,54,63,74,119,214,3.7,873455,524 reviews
354,1,1,9,8,16,4.1,1665660,35 reviews
355,51,49,55,98,181,3.7,1776459,434 reviews
356,4,2,0,12,18,4.1,2139574,36 reviews
357,0,3,1,2,8,4.1,1798412,14 reviews
358,4,4,8,10,48,4.3,1792951,74 reviews
359,6,3,2,5,43,4.3,1726405,59 reviews
360,6,2,3,4,20,3.9,1866318,35 reviews
361,5,6,9,11,35,4,1776236,66 reviews
362,15,11,11,24,47,3.7,1779446,108 reviews
363,11,14,11,24,69,4,1846724,129 reviews
364,5,6,4,8,10,3.4,1751916,33 reviews
365,2,2,1,3,13,4.1,1719780,21 reviews
366,1,0,0,0,2,3.7,1975119,3 reviews
367,1,5,0,1,4,3.2,1948298,11 reviews
368,0,0,2,0,5,4.4,2012037,7 reviews
369,4,2,1,6,22,4.1,1901479,35 reviews
370,63,112,156,298,729,4.1,1925841,"1,358 reviews"
371,0,1,0,2,10,4.6,2239358,13 reviews
372,2,4,8,18,84,4.5,2115939,116 reviews
373,4,4,3,10,18,3.9,2162774,39 reviews
374,2,13,23,132,477,4.7,2224954,647 reviews
375,1,1,2,8,64,4.8,2201226,76 reviews
376,28,32,86,289,"1,337",4.6,1890615,"1,772 reviews"
377,26,26,34,84,300,4.3,2055986,470 reviews
378,9,18,32,85,642,4.7,1993948,786 reviews
379,2,4,6,6,17,3.9,1958859,35 reviews
380,0,0,0,3,39,4.9,2191773,42 reviews
381,6,2,0,3,6,3.1,2106201,17 reviews
382,43,28,41,88,380,4.3,2009512,580 reviews
383,1,1,9,8,16,4.1,1665660,35 reviews
384,7,8,13,16,53,4,1926427,97 reviews
385,2,0,0,0,6,4,2198711,8 reviews
386,9,13,15,30,84,4.1,1956796,151 reviews
387,0,0,0,0,2,5,2098465,2 reviews
388,0,1,2,5,20,4.6,1978477,28 reviews
389,4,6,12,24,154,4.6,2015980,200 reviews
390,10,22,29,34,103,4,2102622,198 reviews
391,199,225,332,827,"2,814",4.3,2137230,"4,397 reviews"
392,9,7,18,34,142,4.4,2230274,210 reviews
393,25,19,39,78,191,4.1,2221869,352 reviews
394,18,7,12,6,12,2.8,2191963,55 reviews
395,1,6,9,17,84,4.5,2157659,117 reviews
396,11,17,17,22,87,4,1839554,154 reviews
397,24,30,48,141,451,4.4,2033454,694 reviews
398,10,25,55,131,472,4.5,2207355,693 reviews
399,5,22,73,499,"1,731",4.7,1935659,"2,330 reviews"
400,4,6,11,20,95,4.4,2191435,136 reviews
401,46,56,92,234,830,4.4,2252096,"1,258 reviews"
402,2,5,6,6,20,3.9,2191880,39 reviews
403,9,18,32,85,642,4.7,1993948,786 reviews
404,14,19,28,47,178,4.2,2150589,286 reviews
405,3,7,15,20,79,4.3,2118982,124 reviews
406,11,5,11,13,96,4.3,1875046,136 reviews
407,19,10,12,21,54,3.7,2076313,116 reviews
408,"1,766","1,739","1,771","2,477","6,779",3.7,1533439,"14,532 reviews"
409,"1,121","1,035","1,335","2,707","8,912",4.1,1343938,"15,110 reviews"
410,11,27,45,80,284,4.3,2063410,447 reviews
411,525,431,506,837,"1,918",3.8,2031649,"4,217 reviews"
412,411,377,432,917,"3,253",4.2,1665082,"5,390 reviews"
413,363,401,575,970,"2,358",4,2062412,"4,667 reviews"
414,150,163,213,334,704,3.8,1689744,"1,564 reviews"
415,331,309,504,"1,639","3,535",4.2,1758184,"6,318 reviews"
416,929,544,359,502,991,3,1809193,"3,325 reviews"
417,125,144,290,667,"1,985",4.3,137471,"3,211 reviews"
418,366,431,510,"1,149","3,697",4.2,862417,"6,153 reviews"
419,256,275,270,464,"1,477",4,1635770,"2,742 reviews"
420,126,121,151,201,540,3.8,1789635,"1,139 reviews"
421,137,138,181,459,"1,198",4.2,2087666,"2,113 reviews"
422,375,244,232,662,"2,325",4.1,692467,"3,838 reviews"
423,122,120,182,539,"1,541",4.3,711267,"2,504 reviews"
424,171,118,140,157,718,3.9,1868215,"1,304 reviews"
425,322,285,258,453,"1,384",3.8,1197458,"2,702 reviews"
426,90,107,138,395,"1,321",4.3,2085231,"2,051 reviews"
427,283,247,268,431,"1,428",3.9,838763,"2,657 reviews"
428,2,8,26,69,110,4.3,2217933,215 reviews
429,35,45,65,138,606,4.4,764183,889 reviews
430,21,22,30,55,297,4.4,1562024,425 reviews
431,191,117,125,223,668,3.8,1495183,"1,324 reviews"
432,159,165,148,308,"1,133",4.1,1520329,"1,913 reviews"
433,41,38,53,100,342,4.2,1540293,574 reviews
434,140,124,221,422,471,3.7,2214849,"1,378 reviews"
435,133,167,208,460,"1,634",4.3,1107051,"2,602 reviews"
436,80,55,65,84,203,3.6,1834167,487 reviews
437,252,190,207,385,810,3.7,1001775,"1,844 reviews"
438,411,377,432,917,"3,253",4.2,1728492,"5,390 reviews"
439,33,31,29,59,155,3.9,1487180,307 reviews
440,95,74,68,116,455,3.9,1711332,808 reviews
441,114,117,110,141,286,3.5,1357664,768 reviews
442,3,8,9,51,116,4.4,2038602,187 reviews
443,46,37,92,216,574,4.3,2056463,965 reviews
444,84,75,58,61,168,3.3,2090090,446 reviews
445,"1,309","1,131","1,347","2,404","10,539",4.2,1177567,"16,730 reviews"
446,302,250,397,"1,078","4,627",4.4,1501311,"6,654 reviews"
447,502,472,628,"1,564","7,156",4.4,1221084,"10,322 reviews"
448,607,678,990,"2,847","10,247",4.4,1971522,"15,369 reviews"
449,320,303,452,"1,367","3,634",4.3,1118033,"6,076 reviews"
450,54,53,52,92,450,4.2,2098655,701 reviews
451,246,193,220,588,"1,438",4,1473743,"2,685 reviews"
452,141,158,186,374,"1,601",4.3,1287408,"2,460 reviews"
453,0,0,0,0,2,5,2245942,2 reviews
454,276,238,185,220,"1,073",3.8,2094258,"1,992 reviews"
455,106,90,93,140,335,3.7,1621523,764 reviews
456,26,32,24,30,42,3.2,2225845,154 reviews
457,109,78,76,121,412,3.8,1799048,796 reviews
458,211,169,157,433,977,3.9,2100972,"1,947 reviews"
459,113,117,168,620,"1,722",4.4,1642081,"2,740 reviews"
460,40,50,79,133,615,4.3,1827062,917 reviews
461,183,145,152,206,426,3.5,1551902,"1,112 reviews"
462,53,43,65,119,263,3.9,1394519,543 reviews
463,43,44,85,378,"1,662",4.6,2234730,"2,212 reviews"
464,76,64,77,131,374,3.9,1698695,722 reviews
465,277,222,248,448,"1,698",4.1,1585819,"2,893 reviews"
466,25,38,46,106,627,4.5,1711639,842 reviews
