1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count,total_ratings,target
55,61,89,317,811,4.3,1317650,1333,1333,0
4,9,13,51,88,4.3,2209211,165,165,0
10,1,4,6,10,3.2,2252179,31,31,0
53,52,66,69,305,4.0,2113934,545,545,0
14,18,27,56,209,4.3,2103596,324,324,0
245,279,269,523,990,3.8,2166825,2306,2306,0
13,41,188,777,1026,4.4,2040871,2045,2045,0
127,85,101,246,843,4.1,2199370,1402,1402,0
44,64,80,180,457,4.1,1727338,825,825,0
49,47,41,82,305,4.0,1697440,524,524,0
135,132,213,373,618,3.8,1779099,1471,1471,0
241,316,443,1150,2654,4.2,2086866,4804,4804,0
85,107,161,482,1181,4.3,870519,2016,2016,0
104,121,151,395,755,4.0,1345206,1526,1526,0
7,9,48,179,481,4.5,2184323,724,724,0
6,27,25,64,175,4.3,2228443,297,297,0
61,59,73,156,348,4.0,1600162,697,697,0
127,157,216,677,2994,4.5,1073063,4171,4171,0
39,30,61,90,198,3.9,2118115,418,418,0
53,43,50,49,141,3.5,2037778,336,336,0
17,19,26,33,114,4.0,2152668,209,209,0
122,137,133,387,996,4.1,1307388,1775,1775,0
58,70,67,117,224,3.7,1317775,536,536,0
15,6,35,196,393,4.5,2176444,645,645,0
4,5,5,5,39,4.2,1897123,58,58,0
12,11,34,96,302,4.5,549170,455,455,0
159,149,174,268,524,3.7,1833888,1274,1274,0
26,28,51,103,156,3.9,2029353,364,364,0
9,12,13,45,114,4.3,2105690,193,193,0
29,25,52,127,338,4.3,1626969,571,571,0
154,150,184,420,840,3.9,2086809,1748,1748,0
10,12,15,68,189,4.4,2102135,294,294,0
34,51,63,121,288,4.0,1887447,557,557,0
34,45,79,194,548,4.3,2194009,900,900,0
35,49,80,213,323,4.1,472597,700,700,0
1,3,3,5,13,4.0,2034775,25,25,0
14,12,11,24,66,3.9,1960079,127,127,0
0,0,0,1,0,4.0,2228278,1,1,0
5,18,43,137,123,4.1,2196871,326,326,0
24,53,145,481,618,4.2,2169860,1321,1321,0
41,40,45,85,242,4.0,1885631,453,453,0
25,34,22,48,98,3.7,1968981,227,227,0
46,71,90,152,316,3.9,1451418,675,675,0
18,17,28,58,186,4.2,2105799,307,307,0
20,21,29,38,141,4.0,1840461,249,249,0
25,19,20,19,82,3.7,1732296,165,165,0
12,15,17,47,94,4.1,1948207,185,185,0
34,36,22,33,94,3.5,1971928,219,219,0
13,27,192,690,1228,4.4,2207520,2150,2150,0
1,4,1,15,43,4.5,1425727,64,64,0
2,4,1,9,7,3.7,2021194,23,23,0
17,25,28,55,169,4.1,1622075,294,294,0
8,3,8,21,42,4.0,1835503,82,82,0
18,29,42,119,239,4.2,685891,447,447,0
3,1,5,11,19,4.1,1978386,39,39,0
17,12,17,61,164,4.3,1318666,271,271,0
31,57,214,525,664,4.2,2177061,1491,1491,0
4,6,2,27,68,4.4,1197920,107,107,0
18,11,11,27,66,3.8,1648518,133,133,0
2,4,5,10,48,4.4,1861533,69,69,0
5,5,6,29,61,4.3,2139632,106,106,0
7,12,7,12,39,3.8,2071819,77,77,0
54,63,74,119,214,3.7,873455,524,524,0
0,2,2,3,4,3.8,2225209,11,11,0
21,38,51,75,186,4.0,1501428,371,371,1
1,1,9,8,16,4.1,1665660,35,35,0
72,72,85,169,189,3.6,1192889,587,587,0
4,2,0,12,18,4.1,2139574,36,36,0
19,19,26,27,87,3.8,2211977,178,178,0
21,9,17,68,98,4.0,2119758,213,213,0
1,0,1,0,4,4.0,2142131,6,6,0
0,1,0,6,10,4.5,1957521,17,17,0
1,6,3,9,31,4.3,1975184,50,50,0
3,0,1,2,9,3.9,2194090,15,15,0
9,13,15,30,84,4.1,1956796,151,151,0
61,61,91,230,319,3.9,1318278,762,762,0
304,313,481,1175,2646,4.1,2086783,4919,4919,1
4,3,4,11,40,4.3,2071280,62,62,0
6,3,2,5,43,4.3,1726405,59,59,0
30,20,17,42,107,3.8,2086833,216,216,1
1,1,3,4,11,4.2,1673441,20,20,0
5,6,9,11,35,4.0,1776236,66,66,0
0,0,0,0,2,5.0,2098465,2,2,0
3,6,7,10,34,4.1,469254,60,60,0
34,43,79,158,416,4.2,1341098,730,730,0
14,22,15,14,23,3.1,1671924,88,88,0
0,3,6,5,8,3.8,1862515,22,22,0
4,3,5,0,6,3.1,2000149,18,18,0
5,6,4,8,10,3.4,1751916,33,33,1
11,14,11,24,69,4.0,1732221,129,129,0
3,1,4,3,4,3.3,2213866,15,15,0
2,2,1,3,13,4.1,1719780,21,21,0
0,0,2,0,5,4.4,2012037,7,7,1
4,2,1,6,22,4.1,1901479,35,35,0
1,0,2,1,5,4.0,1950500,9,9,0
2,0,0,0,2,3.0,1926542,4,4,0
22,14,14,24,63,3.7,1349968,137,137,0
0,1,0,2,10,4.6,2239358,13,13,0
465,304,303,507,1309,3.7,1669027,2888,2888,0
168,232,248,586,2107,4.3,1486752,3341,3341,0
112,131,156,485,1341,4.3,1147883,2225,2225,0
18,23,35,68,160,4.1,1576859,304,304,0
22,14,14,24,63,3.7,1350024,137,137,0
22,14,14,24,63,3.7,1635606,137,137,0
22,14,14,24,63,3.7,1349976,137,137,0
22,14,14,24,63,3.7,1681303,137,137,0
2,4,6,6,17,3.9,1958859,35,35,0
22,14,14,24,63,3.7,1974252,137,137,0
12,10,8,24,69,4.0,1868249,123,123,0
2,4,2,7,20,4.1,2054153,35,35,0
22,14,14,24,63,3.7,1932664,137,137,0
22,14,14,24,63,3.7,1350016,137,137,0
7,7,7,16,57,4.2,2030104,94,94,0
22,14,14,24,63,3.7,1783224,137,137,0
36,17,20,32,87,3.6,1792670,192,192,0
22,14,14,24,63,3.7,1974153,137,137,0
22,14,14,24,63,3.7,1478007,137,137,0
6,6,9,15,61,4.2,1697184,97,97,0
40,30,35,42,101,3.5,1310564,248,248,0
9,8,21,31,79,4.1,1911320,148,148,0
1,0,1,2,5,4.1,2115244,9,9,0
6,11,33,109,157,4.3,2191161,316,316,0
7,4,21,15,60,4.1,2031615,107,107,0
4,4,8,10,48,4.3,1792951,74,74,0
1,1,2,4,9,4.1,2207249,17,17,0
2,2,6,4,9,3.7,1950328,23,23,0
254,290,378,1160,5720,4.5,870618,7802,7802,0
21,16,20,37,177,4.2,1914472,271,271,0
24,31,40,71,272,4.2,2116341,438,438,0
11,10,8,37,211,4.5,1661461,277,277,0
51,63,74,152,614,4.3,2173607,954,954,0
39,37,71,223,1076,4.6,2071769,1446,1446,0
153,181,212,458,1911,4.3,1483502,2915,2915,0
148,185,286,862,4306,4.6,1073014,5787,5787,0
55,48,54,99,427,4.2,2114072,683,683,0
62,28,23,37,166,3.7,1911395,316,316,0
41,50,83,296,796,4.4,1372168,1266,1266,0
4,6,2,2,9,3.3,2271138,23,23,0
35,31,22,32,110,3.7,2227619,230,230,0
33,43,81,160,1039,4.6,2203446,1356,1356,0
25,24,44,156,534,4.5,1889963,783,783,0
81,70,109,232,740,4.2,870675,1232,1232,0
12,27,18,30,98,3.9,1911353,185,185,0
0,1,3,2,12,4.4,1927227,18,18,0
19,35,43,171,392,4.3,51904,660,660,0
69,93,125,281,1108,4.4,1606086,1676,1676,0
